"GDP per capita, current prices (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,196.683,196.954,214.23,248.049,270.189,321.441,377.256,430.867,532.072,602.183,661.087,635.635,629.332,594.513,560.601,569.531,544.983,513.108,509.759,533.089,566.416,602.884,644.95
Albania,728.359,817.734,824.542,815.529,788.332,788.801,855.724,832.245,805.046,860.784,675.736,408.022,259.75,452.623,736.028,903.989,1009.967,717.381,818.32,1032.264,1127.64,1283.573,1425.125,1846.119,2373.58,2673.773,2972.745,3595.053,4370.562,4114.09,4097.833,4439.89,4248.909,4415.6,4584.919,3953.611,4124.405,4540.459,5239.212,5372.742,5847.056,6333.425,6876.566,7410.754,7993.468
Algeria,2268.607,2305.505,2254.328,2316.679,2432.717,2753.697,2698.915,2705.111,2143.742,2127.866,2473.512,1819.984,1873.422,1894.946,1542.974,1499.143,1643.265,1658.732,1633.09,1630.071,1794.695,1768.577,1806.86,2128.385,2636.309,3141.027,3508.959,3986.564,4943.502,3886.059,4480.719,5453.894,5574.507,5477.055,5466.329,4153.322,3918.941,4012.134,4080.913,3980.118,4039.101,4032.707,4055.391,4047.724,3768.013
Angola,745.119,679.02,661.52,671.804,693.779,758.525,690.446,769.563,812.794,920.268,986.639,928.506,695.059,489.755,346.239,419.529,525.403,599.077,493.041,452.677,652.11,619.697,841.42,951.969,1222.038,1862.424,2561.859,3099.087,4081.688,3146.802,3641.444,4716.253,5245.023,5436.516,5625.736,4354.921,3676.826,4303.693,3620.589,3037.976,2867.517,2897.032,2953.859,3045.26,3120.541
Antigua and Barbuda,1920.27,2177.102,2448.568,2752.963,3200.967,3764.001,4617.601,5455.277,6547.27,7273.222,7623.412,7927.571,8084.421,8474.018,9097.242,8675.225,9266.488,9678.3,10074.768,10349.505,10981.376,10414.643,10482.368,10893.152,11582.523,12738.001,14264.568,15996.056,16514.078,14616.947,13568.906,13295.364,13874.188,13514.889,14144.119,14967.361,15914.676,16089.363,17464.336,18109.095,18887.448,19544.781,20124.74,20721.909,21336.798
Argentina,8106.24,6467.988,3158.507,3841.894,4241.377,3149.677,3739.41,3790.752,4386.527,2779.87,4709.661,6233.393,7420.317,7558.499,8125.908,8053.119,8385.153,8918.826,9005.377,8452.876,8386.587,7851.658,2898.289,3645.943,4314.098,5163.55,5976.082,7315.726,9146.79,8337.811,10412.974,12787.806,13889.792,14488.829,13208.831,14895.316,12772.868,14588.011,11658.22,9887.788,9730.908,10462.467,11138.804,11835.194,12177.217
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,31.321,247.884,196.98,399.576,503.774,521.869,608.415,597.241,620.638,692.287,779.122,923.387,1180.399,1628.063,2128.151,3079.031,3913.436,2911.763,3121.778,3417.172,3575.529,3732.035,3889.004,3529.026,3524,3868.906,4187.611,4527.592,4759.206,5059.52,5378.737,5702.344,6043.953
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16546.617,16620.854,17751.072,18825.012,19215.013,20678.398,20909.299,21081.787,21704.381,23421.303,23874.635,24389.24,26114.088,27204.889,24594.675,23468.6,24801.812,24236.809,24253.141,24599.296,24686.161,24075.516,24164.362,25366.477,25976.24,26469.446,27227.77,28021.822,28850.485,29720.457
Australia,10986.435,12504.437,12211.359,11569.803,12551.011,10946.586,11223.682,12973.776,16214.91,18167.692,18833.861,18631.372,18082.035,17424.335,19703.657,20868.045,23106.852,22990.441,20346.819,21726.343,20851.835,19431.456,21644.925,27222.017,32750.638,36151.005,37868.896,45105.291,49151.941,45685.166,56453.662,67222.19,68436.084,65171.227,61652.51,51496.628,51978.954,55973.64,56420.201,53825.164,52952.268,54587.897,56467.987,58449.932,60369.331
Austria,10731.961,9280.733,9267.669,9417.24,8882.634,9090.8,12886.102,16093.023,17632.824,17547.821,21827.452,22621.893,25068.411,24152.673,25725.571,30350.546,29820.613,26737.482,27399.085,27210.471,24636.471,24558.922,26508.308,32298.607,36883.892,38450.609,40674.883,46922.558,51914.013,48111.645,46955.173,51452.293,48616.903,50747.384,51814.424,44266.42,45105.314,47389.373,51343.509,50022.612,51330.462,53303.753,55221.178,57279.407,59476.961
