"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,19.428,20.235,19.63,18.734,18.861,19.998,21.54,23.237,25.19
Albania,1.946,2.229,2.296,2.319,2.29,2.339,2.587,2.566,2.53,2.779,2.221,1.333,0.843,1.461,2.361,2.882,3.2,2.259,2.56,3.209,3.483,3.928,4.348,5.611,7.185,8.052,8.896,10.677,12.881,12.044,11.937,12.899,12.324,12.784,13.246,11.389,11.862,13.059,15.059,15.418,16.753,18.117,19.64,21.131,22.757
Algeria,42.346,44.372,44.78,47.529,51.513,61.132,61.535,63.3,51.664,52.558,61.892,46.67,49.217,50.963,42.426,42.066,46.941,48.178,48.188,48.845,54.749,54.745,56.761,67.864,85.327,103.198,117.027,134.977,171.001,137.054,161.207,200.251,209.016,209.755,213.81,165.979,160.034,167.39,173.757,172.781,178.637,181.569,185.733,188.434,178.174
Angola,6.639,6.214,6.214,6.476,6.864,8.457,7.918,9.05,9.818,11.421,12.571,12.186,9.395,6.819,4.965,6.197,7.994,9.388,7.958,7.526,11.166,10.93,15.286,17.813,23.552,36.971,52.381,65.266,88.539,70.307,83.799,111.79,128.053,136.71,145.712,116.194,101.124,122.124,105.902,91.527,88.983,92.596,97.244,103.261,108.988
Antigua and Barbuda,0.131,0.148,0.164,0.182,0.208,0.241,0.29,0.337,0.399,0.439,0.459,0.482,0.499,0.535,0.589,0.577,0.634,0.681,0.728,0.766,0.83,0.801,0.815,0.856,0.92,1.022,1.157,1.311,1.368,1.224,1.149,1.138,1.2,1.181,1.25,1.337,1.437,1.468,1.611,1.688,1.779,1.861,1.937,2.016,2.098
Argentina,226.569,184.014,91.376,112.721,126.563,95.593,114.949,117.854,138.044,88.567,153.205,205.515,247.987,256.365,279.15,280.08,295.12,317.549,324.242,307.673,308.491,291.738,108.731,138.071,164.911,199.273,232.892,287.921,363.545,334.633,424.729,527.644,579.666,611.471,563.614,642.464,556.774,642.928,519.487,445.469,443.249,481.841,518.662,557.182,579.623
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.108,0.835,0.648,1.287,1.597,1.639,1.892,1.845,1.912,2.118,2.376,2.807,3.577,4.9,6.384,9.206,11.662,8.648,9.26,10.142,10.619,11.121,11.61,10.553,10.546,11.527,12.433,13.444,14.132,15.025,15.975,16.937,17.953
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.321,1.38,1.532,1.665,1.723,1.873,1.92,1.941,2.021,2.228,2.331,2.424,2.615,2.745,2.499,2.391,2.55,2.535,2.58,2.649,2.691,2.657,2.679,2.822,2.903,2.971,3.068,3.169,3.274,3.384
Australia,162.619,188.057,186.698,179.141,196.766,174.057,181.137,212.7,270.58,307.701,323.373,323.794,317.469,308.743,352.566,378.121,423.55,425.553,380.6,411.045,399.126,376.707,424.358,539.735,656.519,734.283,781.142,947.938,1055.569,998.935,1251.717,1513.991,1569.104,1518.345,1457.486,1235.125,1267.75,1386.772,1420.045,1376.255,1375.448,1440.463,1513.75,1591.776,1670.168
Austria,80.923,70.122,70.111,71.033,67.007,68.624,97.375,121.771,133.592,133.263,166.867,174.435,195.506,190.383,203.97,241.235,237.343,213.045,218.557,217.475,197.377,197.51,214.243,262.208,301.321,316.267,336.298,389.231,432.005,401.322,392.595,431.609,409.661,430.197,442.699,381.998,394.212,417.721,456.166,447.718,462.572,483.398,503.707,525.314,548.227
